DateKey,Date,Year,Quarter,Month,MonthName,Day
20160209,2016-02-09,2016,Q1,2,February,9
20160210,2016-02-10,2016,Q1,2,February,10
20160211,2016-02-11,2016,Q1,2,February,11
20160212,2016-02-12,2016,Q1,2,February,12
20160213,2016-02-13,2016,Q1,2,February,13
20160214,2016-02-14,2016,Q1,2,February,14
20160215,2016-02-15,2016,Q1,2,February,15
20160216,2016-02-16,2016,Q1,2,February,16
20160217,2016-02-17,2016,Q1,2,February,17
20160218,2016-02-18,2016,Q1,2,February,18
20160219,2016-02-19,2016,Q1,2,February,19
20160220,2016-02-20,2016,Q1,2,February,20
20160221,2016-02-21,2016,Q1,2,February,21
20160222,2016-02-22,2016,Q1,2,February,22
20160223,2016-02-23,2016,Q1,2,February,23
20160224,2016-02-24,2016,Q1,2,February,24
20160225,2016-02-25,2016,Q1,2,February,25
20160226,2016-02-26,2016,Q1,2,February,26
20160227,2016-02-27,2016,Q1,2,February,27
20160228,2016-02-28,2016,Q1,2,February,28
20160229,2016-02-29,2016,Q1,2,February,29
20160301,2016-03-01,2016,Q1,3,March,1
20160302,2016-03-02,2016,Q1,3,March,2
20160303,2016-03-03,2016,Q1,3,March,3
20160304,2016-03-04,2016,Q1,3,March,4
20160305,2016-03-05,2016,Q1,3,March,5
20160306,2016-03-06,2016,Q1,3,March,6
20160307,2016-03-07,2016,Q1,3,March,7
20160308,2016-03-08,2016,Q1,3,March,8
20160309,2016-03-09,2016,Q1,3,March,9
20160310,2016-03-10,2016,Q1,3,March,10
20160311,2016-03-11,2016,Q1,3,March,11
20160312,2016-03-12,2016,Q1,3,March,12
20160313,2016-03-13,2016,Q1,3,March,13
20160314,2016-03-14,2016,Q1,3,March,14
20160315,2016-03-15,2016,Q1,3,March,15
20160316,2016-03-16,2016,Q1,3,March,16
20160317,2016-03-17,2016,Q1,3,March,17
20160318,2016-03-18,2016,Q1,3,March,18
20160319,2016-03-19,2016,Q1,3,March,19
20160320,2016-03-20,2016,Q1,3,March,20
20160321,2016-03-21,2016,Q1,3,March,21
20160322,2016-03-22,2016,Q1,3,March,22
20160323,2016-03-23,2016,Q1,3,March,23
20160324,2016-03-24,2016,Q1,3,March,24
20160325,2016-03-25,2016,Q1,3,March,25
20160326,2016-03-26,2016,Q1,3,March,26
20160327,2016-03-27,2016,Q1,3,March,27
20160328,2016-03-28,2016,Q1,3,March,28
20160329,2016-03-29,2016,Q1,3,March,29
20160330,2016-03-30,2016,Q1,3,March,30
20160331,2016-03-31,2016,Q1,3,March,31
20160401,2016-04-01,2016,Q2,4,April,1
20160402,2016-04-02,2016,Q2,4,April,2
20160403,2016-04-03,2016,Q2,4,April,3
20160404,2016-04-04,2016,Q2,4,April,4
20160405,2016-04-05,2016,Q2,4,April,5
20160406,2016-04-06,2016,Q2,4,April,6
20160407,2016-04-07,2016,Q2,4,April,7
20160408,2016-04-08,2016,Q2,4,April,8
20160409,2016-04-09,2016,Q2,4,April,9
20160410,2016-04-10,2016,Q2,4,April,10
20160411,2016-04-11,2016,Q2,4,April,11
20160412,2016-04-12,2016,Q2,4,April,12
20160413,2016-04-13,2016,Q2,4,April,13
20160414,2016-04-14,2016,Q2,4,April,14
20160415,2016-04-15,2016,Q2,4,April,15
20160416,2016-04-16,2016,Q2,4,April,16
20160417,2016-04-17,2016,Q2,4,April,17
20160418,2016-04-18,2016,Q2,4,April,18
20160419,2016-04-19,2016,Q2,4,April,19
20160420,2016-04-20,2016,Q2,4,April,20
20160421,2016-04-21,2016,Q2,4,April,21
20160422,2016-04-22,2016,Q2,4,April,22
20160423,2016-04-23,2016,Q2,4,April,23
20160424,2016-04-24,2016,Q2,4,April,24
20160425,2016-04-25,2016,Q2,4,April,25
20160426,2016-04-26,2016,Q2,4,April,26
20160427,2016-04-27,2016,Q2,4,April,27
20160428,2016-04-28,2016,Q2,4,April,28
20160429,2016-04-29,2016,Q2,4,April,29
20160430,2016-04-30,2016,Q2,4,April,30
20160501,2016-05-01,2016,Q2,5,May,1
20160502,2016-05-02,2016,Q2,5,May,2
20160503,2016-05-03,2016,Q2,5,May,3
20160504,2016-05-04,2016,Q2,5,May,4
20160505,2016-05-05,2016,Q2,5,May,5
20160506,2016-05-06,2016,Q2,5,May,6
20160507,2016-05-07,2016,Q2,5,May,7
20160508,2016-05-08,2016,Q2,5,May,8
20160509,2016-05-09,2016,Q2,5,May,9
20160510,2016-05-10,2016,Q2,5,May,10
20160511,2016-05-11,2016,Q2,5,May,11
20160512,2016-05-12,2016,Q2,5,May,12
20160513,2016-05-13,2016,Q2,5,May,13
20160514,2016-05-14,2016,Q2,5,May,14
20160515,2016-05-15,2016,Q2,5,May,15
20160516,2016-05-16,2016,Q2,5,May,16
20160517,2016-05-17,2016,Q2,5,May,17
20160518,2016-05-18,2016,Q2,5,May,18
20160519,2016-05-19,2016,Q2,5,May,19
20160520,2016-05-20,2016,Q2,5,May,20
20160521,2016-05-21,2016,Q2,5,May,21
20160522,2016-05-22,2016,Q2,5,May,22
20160523,2016-05-23,2016,Q2,5,May,23
20160524,2016-05-24,2016,Q2,5,May,24
20160525,2016-05-25,2016,Q2,5,May,25
20160526,2016-05-26,2016,Q2,5,May,26
20160527,2016-05-27,2016,Q2,5,May,27
20160528,2016-05-28,2016,Q2,5,May,28
20160529,2016-05-29,2016,Q2,5,May,29
20160530,2016-05-30,2016,Q2,5,May,30
20160531,2016-05-31,2016,Q2,5,May,31
20160601,2016-06-01,2016,Q2,6,June,1
20160602,2016-06-02,2016,Q2,6,June,2
20160603,2016-06-03,2016,Q2,6,June,3
20160604,2016-06-04,2016,Q2,6,June,4
20160605,2016-06-05,2016,Q2,6,June,5
20160606,2016-06-06,2016,Q2,6,June,6
20160607,2016-06-07,2016,Q2,6,June,7
20160608,2016-06-08,2016,Q2,6,June,8
20160609,2016-06-09,2016,Q2,6,June,9
20160610,2016-06-10,2016,Q2,6,June,10
20160611,2016-06-11,2016,Q2,6,June,11
20160612,2016-06-12,2016,Q2,6,June,12
20160613,2016-06-13,2016,Q2,6,June,13
20160614,2016-06-14,2016,Q2,6,June,14
20160615,2016-06-15,2016,Q2,6,June,15
20160616,2016-06-16,2016,Q2,6,June,16
20160617,2016-06-17,2016,Q2,6,June,17
20160618,2016-06-18,2016,Q2,6,June,18
20160619,2016-06-19,2016,Q2,6,June,19
20160620,2016-06-20,2016,Q2,6,June,20
20160621,2016-06-21,2016,Q2,6,June,21
20160622,2016-06-22,2016,Q2,6,June,22
20160623,2016-06-23,2016,Q2,6,June,23
20160624,2016-06-24,2016,Q2,6,June,24
20160625,2016-06-25,2016,Q2,6,June,25
20160626,2016-06-26,2016,Q2,6,June,26
20160627,2016-06-27,2016,Q2,6,June,27
20160628,2016-06-28,2016,Q2,6,June,28
20160629,2016-06-29,2016,Q2,6,June,29
20160630,2016-06-30,2016,Q2,6,June,30
20160701,2016-07-01,2016,Q3,7,July,1
20160702,2016-07-02,2016,Q3,7,July,2
20160703,2016-07-03,2016,Q3,7,July,3
20160704,2016-07-04,2016,Q3,7,July,4
20160705,2016-07-05,2016,Q3,7,July,5
20160706,2016-07-06,2016,Q3,7,July,6
20160707,2016-07-07,2016,Q3,7,July,7
20160708,2016-07-08,2016,Q3,7,July,8
20160709,2016-07-09,2016,Q3,7,July,9
20160710,2016-07-10,2016,Q3,7,July,10
20160711,2016-07-11,2016,Q3,7,July,11
20160712,2016-07-12,2016,Q3,7,July,12
20160713,2016-07-13,2016,Q3,7,July,13
20160714,2016-07-14,2016,Q3,7,July,14
20160715,2016-07-15,2016,Q3,7,July,15
20160716,2016-07-16,2016,Q3,7,July,16
20160717,2016-07-17,2016,Q3,7,July,17
20160718,2016-07-18,2016,Q3,7,July,18
20160719,2016-07-19,2016,Q3,7,July,19
20160720,2016-07-20,2016,Q3,7,July,20
20160721,2016-07-21,2016,Q3,7,July,21
20160722,2016-07-22,2016,Q3,7,July,22
20160723,2016-07-23,2016,Q3,7,July,23
20160724,2016-07-24,2016,Q3,7,July,24
20160725,2016-07-25,2016,Q3,7,July,25
20160726,2016-07-26,2016,Q3,7,July,26
20160727,2016-07-27,2016,Q3,7,July,27
20160728,2016-07-28,2016,Q3,7,July,28
20160729,2016-07-29,2016,Q3,7,July,29
20160730,2016-07-30,2016,Q3,7,July,30
20160731,2016-07-31,2016,Q3,7,July,31
